Numer,Channel,Image URL,Watch time (hours),Stream time (hours),Peak viewers,Average viewers,Followers,Followers gained,Top Games
1,YoungMulti,https://static-cdn.jtvnw.net/jtv_user_pictures/50f30ab9-b6fb-4905-bd75-d3960afc9e2e-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,"1,213,556(12.4%)",80(1.3%),"28,163(-30.0%)","15,075(11.0%)","1,228,662","22,745","Just Chatting, ROBLOX"
2,NEEXcsgo,https://static-cdn.jtvnw.net/jtv_user_pictures/8d5516a2-de85-41db-87ab-4ea20a03a79b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"1,063,744(51.8%)",316(19.6%),"11,420(91.5%)","3,358(26.9%)","333,494","15,579","Just Chatting, Counter-Strike"
3,IzakOOO,https://static-cdn.jtvnw.net/jtv_user_pictures/fb0c5dab-f137-4860-a9df-0102056ec63d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"898,276(30.4%)",228(48.6%),"25,978(-23.4%)","3,931(-12.3%)","1,957,746","4,454","Counter-Strike, World of Warcraft"
4,H2P_Gucio,https://static-cdn.jtvnw.net/jtv_user_pictures/h2p_gucio-profile_image-a32982661b4aebe5-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,"830,112(36.3%)",162(30.8%),"9,408(5.2%)","5,108(4.2%)","430,225","2,420","World of Warcraft, 7 Days to Die"
5,1wron3k,https://static-cdn.jtvnw.net/jtv_user_pictures/0433fbaa-6343-4fe1-9f61-f676b822a8d1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"768,463(3.3%)",502(11.5%),"9,141(-22.5%)","1,528(-7.4%)","278,144","19,520","Just Chatting, IRL"
6,xmerghani,https://static-cdn.jtvnw.net/jtv_user_pictures/47674a51-c091-4f38-81f4-fe0a5f64cbed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"608,858(93.1%)",59(42.2%),"21,837(11.1%)","10,319(35.8%)","590,419","10,485","Just Chatting, London 2012: The Official Video Game"
7,Overpow,https://static-cdn.jtvnw.net/jtv_user_pictures/8d09018b2a7ff6ba-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,"584,750(179.9%)",218(1.7%),"8,334(188.7%)","2,673(175.3%)","312,077","6,068","IRL, Black Myth: Wukong"
8,EWROON,https://static-cdn.jtvnw.net/jtv_user_pictures/ewroon-profile_image-13a9eaf00f468486-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"559,091(54.5%)",106(4.4%),"9,750(26.9%)","5,274(47.9%)","919,130",412,"Just Chatting, Among Us"
9,MrDzinold,https://static-cdn.jtvnw.net/jtv_user_pictures/3c3cfcb9-151f-4e31-a4b7-64afd52217c0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"474,754(59.7%)",123(27.3%),"11,124(-26.7%)","3,844(25.5%)","640,994","14,802","Just Chatting, Counter-Strike"
10,Slayproxx,https://static-cdn.jtvnw.net/jtv_user_pictures/877af8a7-e557-4ab2-bc0f-00b5f772d698-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"471,864(122.5%)",255(34.5%),"4,739(75.8%)","1,846(65.4%)","80,766","5,229","IRL, Just Chatting"
11,xntentacion,https://static-cdn.jtvnw.net/jtv_user_pictures/9f79024f-c924-46cf-9a74-09847862d227-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"292,653(4.1%)",187(13.7%),"5,561(2.4%)","1,562(-8.4%)","323,563","1,836","Teamfight Tactics, Just Chatting"
12,Putrefy,https://static-cdn.jtvnw.net/jtv_user_pictures/8effae97-44cc-47be-a88c-a682dc82c65a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,"269,942(60.7%)",213(1.1%),"4,258(129.7%)","1,267(59.0%)","61,508","3,953","Just Chatting, 7 Days to Die"
